"subj" "trial" "rating" "cond" "targ_ID" "dist_ID" "exp"
"1373" "3" 421 5 "unrelated" "Harfe" "Ente" 6
"1374" "3" 422 2 "congruent" "Schere" "Schere" 6
"1375" "3" 423 1 "unrelated" "Dudelsack" "Pferd" 6
"1376" "3" 424 2 "congruent" "Schwein" "Schwein" 6
"1377" "3" 425 3 "unrelated" "Saege" "Hahn" 6
"1378" "3" 426 3 "semantic" "Fahrrad" "Auto" 6
"1379" "3" 427 4 "semantic" "Bohrer" "Hammer" 6
"1380" "3" 428 3 "unrelated" "Pferd" "Trommel" 6
"1381" "3" 429 2 "congruent" "Auto" "Auto" 6
"1382" "3" 430 5 "unrelated" "Gitarre" "Saege" 6
"1386" "3" 434 2 "semantic" "Staubsauger" "Besen" 6
"1387" "3" 435 2 "congruent" "Esel" "Esel" 6
"1388" "3" 436 4 "semantic" "Orgel" "Geige" 6
"1389" "3" 437 3 "congruent" "Gitarre" "Gitarre" 6
"1390" "3" 438 3 "unrelated" "Schere" "Affe" 6
"1391" "3" 439 3 "congruent" "Geige" "Geige" 6
"1392" "3" 440 3 "congruent" "Saege" "Saege" 6
"1393" "3" 441 4 "semantic" "Katze" "Loewe" 6
"1394" "3" 442 2 "semantic" "Ente" "Hahn" 6
"1395" "3" 443 3 "congruent" "Trommel" "Trommel" 6
"1396" "3" 444 2 "congruent" "Zug" "Zug" 6
"1397" "3" 445 3 "unrelated" "Hahn" "Klingel" 6
"1400" "3" 448 4 "unrelated" "Klingel" "Schere" 6
"1401" "3" 449 3 "unrelated" "Esel" "Hammer" 6
"1402" "3" 450 3 "congruent" "Dudelsack" "Dudelsack" 6
"1403" "3" 451 2 "congruent" "Harfe" "Harfe" 6
"1404" "3" 452 3 "unrelated" "Schwein" "Fahrrad" 6
"1405" "3" 453 4 "semantic" "Hund" "Pferd" 6
"1407" "3" 455 2 "semantic" "Besen" "Staubsauger" 6
"1408" "3" 456 1 "semantic" "Schiff" "Zug" 6
"1412" "3" 460 2 "semantic" "Affe" "Kuh" 6
"1413" "3" 461 4 "semantic" "Glocke" "Klingel" 6
"1414" "3" 462 4 "unrelated" "Elefant" "Bohrer" 6
"1415" "3" 463 3 "semantic" "Schaf" "Esel" 6
"1418" "3" 466 5 "unrelated" "Kuh" "Floete" 6
"1419" "3" 467 4 "unrelated" "Auto" "Schaf" 6
"1420" "3" 468 4 "congruent" "Pferd" "Pferd" 6
"1421" "3" 469 5 "semantic" "Schere" "Saege" 6
"1422" "3" 470 4 "semantic" "Elefant" "Schwein" 6
"1423" "3" 471 2 "congruent" "Schiff" "Schiff" 6
"1426" "3" 474 3 "unrelated" "Fahrrad" "Loewe" 6
"1427" "3" 475 4 "unrelated" "Trompete" "Staubsauger" 6
"1428" "3" 476 4 "congruent" "Besen" "Besen" 6
"1429" "3" 477 3 "semantic" "Klingel" "Glocke" 6
"1430" "3" 478 5 "unrelated" "Bohrer" "Trompete" 6
"1431" "3" 479 4 "congruent" "Hund" "Hund" 6
"1432" "3" 480 3 "congruent" "Glocke" "Glocke" 6
"1433" "3" 481 2 "semantic" "Esel" "Schaf" 6
"1436" "3" 484 3 "congruent" "Ente" "Ente" 6
"1438" "3" 486 4 "congruent" "Schaf" "Schaf" 6
"1440" "3" 488 5 "unrelated" "Floete" "Besen" 6
"1441" "3" 489 4 "unrelated" "Hammer" "Dudelsack" 6
"1442" "3" 490 3 "congruent" "Affe" "Affe" 6
"1443" "3" 491 3 "semantic" "Auto" "Fahrrad" 6
"1444" "3" 492 2 "semantic" "Hahn" "Ente" 6
"1445" "3" 493 4 "congruent" "Katze" "Katze" 6
"1447" "3" 495 4 "unrelated" "Staubsauger" "Kuh" 6
"1449" "3" 497 3 "semantic" "Schwein" "Elefant" 6
"1450" "3" 498 5 "unrelated" "Orgel" "Hund" 6
"1451" "3" 499 4 "unrelated" "Loewe" "Glocke" 6
"1452" "3" 500 4 "semantic" "Kuh" "Affe" 6
"1809" "4" 373 2 "congruent" "Elefant" "Elefant" 6
"1813" "4" 377 1 "semantic" "Staubsauger" "Besen" 6
"1815" "4" 379 2 "congruent" "Schwein" "Schwein" 6
"1816" "4" 380 5 "semantic" "Floete" "Harfe" 6
"1818" "4" 382 3 "semantic" "Fahrrad" "Auto" 6
"1819" "4" 383 4 "unrelated" "Harfe" "Ente" 6
"1820" "4" 384 3 "congruent" "Klingel" "Klingel" 6
"1821" "4" 385 2 "unrelated" "Pferd" "Trommel" 6
