"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_pic" "BPR_corrResp" "BPR_pos" "BPR_let" "BPR_ver" "BPR_rot" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"47" 1 51 1401 "/" "0" "sonafam2" "g_Tromme.wav" "Tromme__.bmp" "w_______.bmp" "000" 1 "30" "2" 30 0 0 0 5 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" 1 52 701 "/" "0" "sonafam2" "g_Auto__.wav" "Auto____.bmp" "w_______.bmp" "000" 1 "02" "2" 2 0 0 0 2 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" 1 53 968 "/" "0" "sonafam2" "g_Orgel_.wav" "Orgel___.bmp" "w_______.bmp" "000" 1 "22" "1" 22 0 0 0 5 11 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" 1 54 678 "/" "0" "sonafam2" "g_Loewe_.wav" "Loewe___.bmp" "w_______.bmp" "000" 1 "21" "2" 21 0 0 0 1 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" 1 55 965 "/" "0" "sonafam2" "g_Pistol.wav" "Pistol__.bmp" "w_______.bmp" "000" 1 "94" "9" 94 0 0 0 7 16 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" 1 56 935 "/" "0" "sonafam2" "g_Ente__.wav" "Ente____.bmp" "w_______.bmp" "000" 1 "07" "2" 7 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" 1 57 720 "/" "0" "sonafam2" "g_Telefo.wav" "Telefo__.bmp" "w_______.bmp" "000" 1 "97" "9" 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" 1 58 640 "/" "0" "sonafam2" "g_Hund__.wav" "Hund____.bmp" "w_______.bmp" "000" 1 "17" "2" 17 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" 1 59 868 "/" "0" "sonafam2" "g_Saege_.wav" "Saege___.bmp" "w_______.bmp" "000" 1 "24" "2" 24 0 0 0 4 12 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" 1 60 662 "/" "0" "sonafam2" "g_Elefan.wav" "Elefan__.bmp" "w_______.bmp" "000" 1 "06" "1" 6 0 0 0 1 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" 1 61 888 "/" "0" "sonafam2" "g_Pfeife.wav" "Pfeife__.bmp" "w_______.bmp" "000" 1 "93" "9" 93 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" 1 62 1141 "/" "0" "sonafam2" "g_Hahn__.wav" "Hahn____.bmp" "w_______.bmp" "000" 1 "14" "1" 14 0 0 0 1 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" 1 63 783 "/" "0" "sonafam2" "g_Staubs.wav" "Staubs__.bmp" "w_______.bmp" "000" 1 "29" "2" 29 0 0 0 3 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" 1 64 909 "/" "0" "sonafam2" "g_Kuh___.wav" "Kuh_____.bmp" "w_______.bmp" "000" 1 "20" "1" 20 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" 1 65 1094 "/" "0" "sonafam2" "g_Zug___.wav" "Zug_____.bmp" "w_______.bmp" "000" 1 "32" "1" 32 0 0 0 2 15 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" 1 66 1119 "/" "0" "sonafam2" "g_Schwei.wav" "Schwei__.bmp" "w_______.bmp" "000" 1 "28" "2" 28 0 0 0 1 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" 1 67 946 "/" "0" "sonafam2" "g_Dudels.wav" "Dudels__.bmp" "w_______.bmp" "000" 1 "05" "2" 5 0 0 0 5 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" 1 68 750 "/" "0" "sonafam2" "g_Affe__.wav" "Affe____.bmp" "w_______.bmp" "000" 1 "01" "2" 1 0 0 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" 1 69 814 "/" "0" "sonafam2" "g_Floete.wav" "Floete__.bmp" "w_______.bmp" "000" 1 "10" "2" 10 0 0 0 5 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" 1 70 769 "/" "0" "sonafam2" "g_Katze_.wav" "Katze___.bmp" "w_______.bmp" "000" 1 "18" "1" 18 0 0 0 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" 1 71 906 "/" "0" "sonafam2" "g_Hubsch.wav" "Hubsch__.bmp" "w_______.bmp" "000" 1 "96" "9" 96 0 0 0 2 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" 1 72 955 "/" "0" "sonafam2" "g_Geige_.wav" "Geige___.bmp" "w_______.bmp" "000" 1 "11" "2" 11 0 0 0 5 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" 1 73 930 "/" "0" "sonafam2" "g_Schiff.wav" "Schiff__.bmp" "w_______.bmp" "000" 1 "27" "2" 27 0 0 0 2 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" 1 74 776 "/" "0" "sonafam2" "g_Harfe_.wav" "Harfe___.bmp" "w_______.bmp" "000" 1 "16" "1" 16 0 0 0 5 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" 1 75 1237 "/" "0" "sonafam2" "g_Klinge.wav" "Klinge__.bmp" "w_______.bmp" "000" 1 "19" "2" 19 0 0 0 6 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" 1 76 711 "/" "0" "sonafam2" "g_Besen_.wav" "Besen___.bmp" "w_______.bmp" "000" 1 "03" "1" 3 0 0 0 3 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" 1 77 666 "/" "0" "sonafam2" "g_Glocke.wav" "Glocke__.bmp" "w_______.bmp" "000" 1 "13" "1" 13 0 0 0 6 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" 1 78 924 "/" "0" "sonafam2" "g_Frosch.wav" "Frosch__.bmp" "w_______.bmp" "000" 1 "90" "9" 90 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" 1 79 701 "/" "0" "sonafam2" "g_Schere.wav" "Schere__.bmp" "w_______.bmp" "000" 1 "26" "1" 26 0 0 0 4 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" 1 80 995 "/" "0" "sonafam2" "g_Grille.wav" "Grille__.bmp" "w_______.bmp" "000" 1 "91" "9" 91 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" 1 81 691 "/" "0" "sonafam2" "g_Bohrer.wav" "Bohrer__.bmp" "w_______.bmp" "000" 1 "04" "2" 4 0 0 0 4 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" 1 82 1423 "/" "0" "sonafam2" "g_Kanone.wav" "Kanone__.bmp" "w_______.bmp" "000" 1 "92" "9" 92 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" 1 83 817 "/" "0" "sonafam2" "g_Hammer.wav" "Hammer__.bmp" "w_______.bmp" "000" 1 "15" "1" 15 0 0 0 4 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" 1 84 906 "/" "0" "sonafam2" "g_Pferd_.wav" "Pferd___.bmp" "w_______.bmp" "000" 1 "23" "1" 23 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" 1 87 1722 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "B_g_150_.bmp" "<" 277 "B" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
